Frame,Iris Dilation,Pupil Dilation,Ratio,Processed Iris Dilation,Processed Pupil Dilation,Processed Ratio
0,147.0,47.0,0.31973,147.0,47.0,0.31973
1,156.0,46.5,0.29808,156.0,46.5,0.29808
2,153.0,46.0,0.30065,153.0,46.0,0.30065
3,149.0,46.0,0.30872,149.0,46.0,0.30872
4,146.0,46.0,0.31507,146.0,46.0,0.31507
5,156.0,46.0,0.29487,156.0,46.0,0.29487
6,150.0,45.5,0.30333,150.0,45.5,0.30333
7,152.0,46.0,0.30263,152.0,46.0,0.30263
8,153.0,46.0,0.30065,153.0,46.0,0.30065
9,149.0,46.0,0.30872,149.0,46.0,0.30872
10,150.0,45.5,0.30333,150.0,45.5,0.30333
11,147.0,45.5,0.30952,147.0,45.5,0.30952
12,153.0,45.5,0.29739,153.0,45.5,0.29739
13,159.0,46.0,0.28931,159.0,46.0,0.28931
14,147.0,46.0,0.31293,147.0,46.0,0.31293
15,149.0,46.0,0.30872,149.0,46.0,0.30872
16,150.89999389648438,45.0,0.29821,150.89999389648438,45.0,0.29821
17,150.0,46.0,0.30667,150.0,46.0,0.30667
18,152.0,45.5,0.29934,152.0,45.5,0.29934
19,150.8800048828125,46.0,0.30488,150.8800048828125,46.0,0.30488
20,147.0,45.5,0.30952,147.0,45.5,0.30952
21,148.0,46.0,0.31081,148.0,46.0,0.31081
22,149.656005859375,46.0,0.30737,149.656005859375,46.0,0.30737
23,149.0,46.0,0.30872,149.0,46.0,0.30872
24,147.0,45.5,0.30952,147.0,45.5,0.30952
25,149.40719604492188,46.0,0.30788,149.40719604492188,46.0,0.30788
26,148.0,46.0,0.31081,148.0,46.0,0.31081
27,148.80064392089844,45.5,0.30578,148.80064392089844,45.5,0.30578
28,148.7727813720703,46.0,0.30920,148.7727813720703,46.0,0.30920
29,151.0,46.0,0.30464,151.0,46.0,0.30464
30,151.0,45.5,0.30132,151.0,45.5,0.30132
31,150.0,46.0,0.30667,150.0,46.0,0.30667
32,153.0,46.0,0.30065,153.0,46.0,0.30065
33,154.0,46.0,0.29870,154.0,46.0,0.29870
34,150.21469116210938,46.0,0.30623,150.21469116210938,46.0,0.30623
35,150.5775604248047,46.0,0.30549,150.5775604248047,46.0,0.30549
36,149.0,46.0,0.30872,149.0,46.0,0.30872
37,148.0,46.0,0.31081,148.0,46.0,0.31081
38,150.658447265625,45.5,0.30201,150.658447265625,45.5,0.30201
39,153.0,46.0,0.30065,153.0,46.0,0.30065
40,152.0,45.5,0.29934,152.0,45.5,0.29934
41,150.0,45.5,0.30333,150.0,45.5,0.30333
42,151.0,46.0,0.30464,151.0,46.0,0.30464
43,148.0,46.0,0.31081,148.0,46.0,0.31081
44,151.0,46.0,0.30464,151.0,46.0,0.30464
45,151.0,46.0,0.30464,151.0,46.0,0.30464
46,153.0,45.5,0.29739,153.0,45.5,0.29739
47,151.0316925048828,46.0,0.30457,151.0316925048828,46.0,0.30457
48,151.10635375976562,46.0,0.30442,151.10635375976562,46.0,0.30442
49,154.0,46.0,0.29870,154.0,46.0,0.29870
50,154.0,45.5,0.29545,154.0,45.5,0.29545
51,151.52761840820312,46.5,0.30687,151.52761840820312,46.5,0.30687
52,150.0,46.5,0.31000,150.0,46.5,0.31000
53,148.0,46.0,0.31081,148.0,46.0,0.31081
54,151.3331298828125,46.0,0.30397,151.3331298828125,46.0,0.30397
55,151.39341735839844,46.0,0.30384,151.39341735839844,46.0,0.30384
56,154.0,46.5,0.30195,154.0,46.5,0.30195
57,149.0,46.5,0.31208,149.0,46.5,0.31208
58,150.95083618164062,46.5,0.30805,150.95083618164062,46.5,0.30805
59,150.83547973632812,46.0,0.30497,150.83547973632812,46.0,0.30497
60,151.2025604248047,46.0,0.30423,151.2025604248047,46.0,0.30423
61,151.17645263671875,46.0,0.30428,151.17645263671875,46.0,0.30428
62,151.13308715820312,46.5,0.30768,151.13308715820312,46.5,0.30768
63,154.0,46.0,0.29870,154.0,46.0,0.29870
64,151.36459350585938,46.0,0.30390,151.36459350585938,46.0,0.30390
65,148.0,46.5,0.31419,148.0,46.5,0.31419
66,151.1753387451172,46.0,0.30428,151.1753387451172,46.0,0.30428
67,151.16989135742188,46.0,0.30429,151.16989135742188,46.0,0.30429
68,154.0,46.0,0.29870,154.0,46.0,0.29870
69,151.4552764892578,46.0,0.30372,151.4552764892578,46.0,0.30372
70,153.0,46.0,0.30065,153.0,46.0,0.30065
71,149.0,46.0,0.30872,149.0,46.0,0.30872
72,148.0,46.0,0.31081,148.0,46.0,0.31081
73,151.16009521484375,46.5,0.30762,151.16009521484375,46.5,0.30762
74,151.1570587158203,46.0,0.30432,151.1570587158203,46.0,0.30432
75,151.1544952392578,46.5,0.30763,151.1544952392578,46.5,0.30763
76,150.83987426757812,46.0,0.30496,150.83987426757812,46.0,0.30496
77,149.0,46.0,0.30872,149.0,46.0,0.30872
78,154.0,45.5,0.29545,154.0,45.5,0.29545
79,151.1623077392578,45.5,0.30100,151.1623077392578,45.5,0.30100
80,151.16275024414062,46.0,0.30431,151.16275024414062,46.0,0.30431
81,150.0,46.5,0.31000,150.0,46.5,0.31000
82,148.0,46.5,0.31419,148.0,46.5,0.31419
83,149.0,46.0,0.30872,149.0,46.0,0.30872
84,154.0,46.0,0.29870,154.0,46.0,0.29870
85,151.0,45.5,0.30132,151.0,45.5,0.30132
86,147.0,46.0,0.31293,147.0,46.0,0.31293
87,151.0,46.5,0.30795,151.0,46.5,0.30795
88,150.34878540039062,46.0,0.30596,150.34878540039062,46.0,0.30596
89,150.18601989746094,46.5,0.30962,150.18601989746094,46.5,0.30962
90,153.0,46.0,0.30065,153.0,46.0,0.30065
91,148.0,46.0,0.31081,148.0,46.0,0.31081
92,149.0,46.0,0.30872,149.0,46.0,0.30872
93,153.0,45.5,0.29739,153.0,45.5,0.29739
94,150.2069549560547,46.0,0.30624,150.2069549560547,46.0,0.30624
95,150.0,45.5,0.30333,150.0,45.5,0.30333
96,150.41346740722656,45.5,0.30250,150.41346740722656,45.5,0.30250
97,153.0,46.0,0.30065,153.0,46.0,0.30065
98,150.72409057617188,45.5,0.30188,150.72409057617188,45.5,0.30188
99,150.76890563964844,45.5,0.30179,150.76890563964844,45.5,0.30179
100,150.72268676757812,46.0,0.30520,150.72268676757812,46.0,0.30520
101,150.82582092285156,46.0,0.30499,150.82582092285156,46.0,0.30499
102,152.0,45.5,0.29934,152.0,45.5,0.29934
103,151.10829162597656,46.5,0.30773,151.10829162597656,46.5,0.30773
104,154.0,45.5,0.29545,154.0,45.5,0.29545
105,151.28512573242188,45.5,0.30076,151.28512573242188,45.5,0.30076
106,149.0,45.5,0.30537,149.0,45.5,0.30537
107,149.0,45.5,0.30537,149.0,45.5,0.30537
108,154.0,47.0,0.30519,154.0,47.0,0.30519
109,150.0,46.0,0.30667,150.0,46.0,0.30667
110,149.0,46.0,0.30872,149.0,46.0,0.30872
111,150.9786834716797,46.0,0.30468,150.9786834716797,46.0,0.30468
112,150.9527587890625,46.5,0.30804,150.9527587890625,46.5,0.30804
113,150.61480712890625,46.0,0.30541,150.61480712890625,46.0,0.30541
114,150.0,47.0,0.31333,150.0,47.0,0.31333
115,154.0,46.5,0.30195,154.0,46.5,0.30195
116,151.0,47.0,0.31126,151.0,47.0,0.31126
117,152.0,47.0,0.30921,152.0,47.0,0.30921
118,151.0,47.5,0.31457,151.0,47.5,0.31457
119,151.2113800048828,47.5,0.31413,151.2113800048828,47.5,0.31413
120,151.26052856445312,47.5,0.31403,151.26052856445312,47.5,0.31403
121,151.35586547851562,46.5,0.30722,151.35586547851562,46.5,0.30722
122,151.5655517578125,47.0,0.31010,151.5655517578125,47.0,0.31010
123,151.378662109375,46.5,0.30718,151.378662109375,46.5,0.30718
