Frame,Processed Ratio
0,0.31973
1,0.29808
2,0.30065
3,0.30872
4,0.31507
5,0.29487
6,0.30333
7,0.30263
8,0.30065
9,0.30872
10,0.30333
11,0.30952
12,0.29739
13,0.28931
14,0.31293
15,0.30872
16,0.29821
17,0.30667
18,0.29934
19,0.30488
20,0.30952
21,0.31081
22,0.30737
23,0.30872
24,0.30952
25,0.30788
26,0.31081
27,0.30578
28,0.30920
29,0.30464
30,0.30132
31,0.30667
32,0.30065
33,0.29870
34,0.30623
35,0.30549
36,0.30872
37,0.31081
38,0.30201
39,0.30065
40,0.29934
41,0.30333
42,0.30464
43,0.31081
44,0.30464
45,0.30464
46,0.29739
47,0.30457
48,0.30442
49,0.29870
50,0.29545
51,0.30687
52,0.31000
53,0.31081
54,0.30397
55,0.30384
56,0.30195
57,0.31208
58,0.30805
59,0.30497
60,0.30423
61,0.30428
62,0.30768
63,0.29870
64,0.30390
65,0.31419
66,0.30428
67,0.30429
68,0.29870
69,0.30372
70,0.30065
71,0.30872
72,0.31081
73,0.30762
74,0.30432
75,0.30763
76,0.30496
77,0.30872
78,0.29545
79,0.30100
80,0.30431
81,0.31000
82,0.31419
83,0.30872
84,0.29870
85,0.30132
86,0.31293
87,0.30795
88,0.30596
89,0.30962
90,0.30065
91,0.31081
92,0.30872
93,0.29739
94,0.30624
95,0.30333
96,0.30250
97,0.30065
98,0.30188
99,0.30179
100,0.30520
101,0.30499
102,0.29934
103,0.30773
104,0.29545
105,0.30076
106,0.30537
107,0.30537
108,0.30519
109,0.30667
110,0.30872
111,0.30468
112,0.30804
113,0.30541
114,0.31333
115,0.30195
116,0.31126
117,0.30921
118,0.31457
119,0.31413
120,0.31403
121,0.30722
122,0.31010
123,0.30718
124,0.31053
125,0.31047
126,0.31250
127,0.31359
128,0.31689
129,0.31688
130,0.31667
131,0.31052
132,0.30392
133,0.31000
134,0.30768
135,0.31112
136,0.31129
137,0.31779
138,0.32455
139,0.34428
140,0.33784
141,0.33175
142,0.32857
143,0.32872
144,0.32891
145,0.30813
146,0.32543
147,0.33214
148,0.32555
149,0.32225
150,0.32225
151,0.33217
152,0.32222
153,0.32223
154,0.31559
155,0.31890
156,0.31890
157,0.31558
158,0.31891
159,0.31169
160,0.31817
161,0.32133
162,0.32447
163,0.32094
164,0.33446
165,0.32453
166,0.32515
167,0.32192
168,0.32206
169,0.32891
170,0.33513
171,0.32863
172,0.32202
173,0.32204
174,0.31207
175,0.31203
176,0.31537
177,0.31538
178,0.31206
179,0.30873
180,0.30873
181,0.31206
182,0.31206
183,0.31205
184,0.31205
185,0.31537
186,0.32533
187,0.32533
188,0.32533
189,0.32533
190,0.32865
191,0.32865
192,0.32865
193,0.33529
194,0.33861
195,0.33861
196,0.33861
197,0.33861
198,0.33861
199,0.33861
200,0.33529
201,0.33861
202,0.34193
203,0.34525
204,0.34857
205,0.34857
206,0.34525
207,0.34193
208,0.34193
209,0.33861
210,0.33529
211,0.32865
212,0.32865
213,0.32533
214,0.32533
215,0.32533
216,0.32533
217,0.32201
218,0.32201
219,0.32201
220,0.32201
221,0.32533
222,0.32865
223,0.32865
224,0.32865
225,0.32865
226,0.32533
227,0.32201
228,0.32201
229,0.32533
230,0.32533
231,0.32865
232,0.32865
233,0.32865
234,0.33197
235,0.32865
236,0.32533
237,0.31818
238,0.33123
239,0.32777
240,0.32759
241,0.33069
242,0.33043
243,0.34079
244,0.34072
245,0.34727
246,0.31437
247,0.31437
248,0.31442
249,0.31440
250,0.31439
251,0.31439
252,0.31439
253,0.36381
254,0.31459
255,0.31459
256,0.28112
257,0.31446
258,0.30097
259,0.31441
260,0.30097
261,0.31436
262,0.30097
263,0.31430
264,0.31430
265,0.31430
266,0.31430
267,0.33073
268,0.31437
269,0.31896
270,0.31482
271,0.31491
272,0.31502
273,0.31515
274,0.31531
275,0.34139
276,0.31518
277,0.31522
278,0.31524
279,0.31524
280,0.30831
281,0.30832
282,0.29838
283,0.29838
284,0.29506
285,0.29837
286,0.30169
287,0.29838
288,0.30501
289,0.30501
290,0.30501
291,0.30169
292,0.30169
293,0.29838
294,0.30501
295,0.30501
296,0.30169
297,0.29838
298,0.29838
299,0.29838
300,0.30501
301,0.30832
302,0.35805
303,0.37131
304,0.31459
305,0.32158
306,0.31461
307,0.31461
308,0.31461
309,0.31461
310,0.31461
311,0.31461
312,0.31461
313,0.31461
314,0.33153
315,0.32490
316,0.31495
317,0.31495
318,0.30832
319,0.31495
320,0.31827
